apartmentFloor,floors,fullArea,rooms,type,year,deptFreePrice,energyClass,propertyOwnership,population,avgAge,total_age_18,total_educated,lower_high_education,higher_high_education,median_income,lower_income_class,mid_income_class,high_income_class,total_purchasing_power,total_households,density,own_households,rent_households,median_income_household,low_incomeclass_households,mid_incomeclass_households,high_incomeclass_households,household_purchasing_power,total_buildings,flats,avg_size,apartment_buildings,total_jobs,employed,unemployed,students,pensioners,bus,store,doctor,school,sports
2,6,29,1,1,1936,279000,7,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
1,7,81,3,1,1936,549000,5,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
3,6,91,3,1,1935,689000,6,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
6,8,37.5,1,1,1988,319000,5,1,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
2,6,111,4,1,1936,945000,6,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
3,7,160,5,1,1936,982000,6,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
2,6,128,3,1,1926,935000,6,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
6,8,60,2,1,1988,509000,5,1,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
4,6,91,3,1,1935,655000,6,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
1,6,112,3,1,1927,729000,4,2,18427,41,16273,14614,2983,5988,27577,2772,6778,6609,681838023,10301,38.7,4767,5144,40603,1682,4147,4376,679917694,634,11945,65.9,11943,50264,10340,702,1212,3350,125.73684210526316,135.796875,589.46875,395.578125,323.34375
