,Unnamed: 0,Unnamed: 0.1,name,epochs,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,act_layer,optimizer,activation,batch_size,num_layers,weight_decay,learning_rate,dropout,validation_split,layer_7,layer_8,layer_9,layer_10,lr,MSE,loss,_step,epoch,graph,MSE_diff,_runtime,val_loss,MSE_train,_timestamp,best_epoch,best_val_loss,RMSPE,num_nodes_total
0,0,0,bright-sweep-151,1000.0,687,267,554,562,985,825,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.003288356,0.001694625,143.0,142.0,"{'path': 'media/graph/graph_summary_d7a80e6f.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'd7a80e6f9c1beb58e0b373919e068f79e66c038ba15266fcbef18c95a9f5d5b3'}",0.000515509,13.38719106,0.011600317,0.002772847,1588269167.0,42.0,0.009041733,5.734418889477817,3880.0
1,1,1,fast-sweep-150,1000.0,686,402,640,412,993,900,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.0033398570000000003,0.001771609,145.0,144.0,"{'path': 'media/graph/graph_summary_9a95eabc.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '9a95eabc048e25f9c83c36bc8712541e2ae31163c0d9de80433acb2e221ea2eb'}",0.000881924,12.77383137,0.007014259,0.002457932,1588269138.0,44.0,0.00646152,5.77914959141914,4033.0
2,2,2,brisk-sweep-149,1000.0,709,267,681,440,959,888,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000395401,0.002483326,0.001392607,169.0,168.0,"{'path': 'media/graph/graph_summary_418aaf1a.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '418aaf1ab3aa10d31d8b7e7a8391e0458d348730d0e6522c31179fb11443579d'}",0.000310862,14.58868003,0.008753315,0.002172464,1588269107.0,68.0,0.0069035830000000005,4.983298104669236,3944.0
3,3,3,electric-sweep-149,1000.0,544,268,574,559,953,818,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000355861,0.003065586,0.001546014,177.0,176.0,"{'path': 'media/graph/graph_summary_5a316e5c.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '5a316e5cdf5885b91b7d7bf3c62011e7ace4c2e0a6d43cfc1dc4dea709ff4958'}",0.001087056,15.98125196,0.007097514,0.00197853,1588269075.0,76.0,0.00563473,5.536773428631517,3716.0
4,4,4,playful-sweep-148,1000.0,503,445,709,428,953,852,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000395401,0.003497877,0.001636024,164.0,163.0,"{'path': 'media/graph/graph_summary_c0371459.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'c037145974cb31409ce809c2a5b37aeed392ee973f600cade71a693dd50200c2'}",0.000950226,12.96432161,0.010970468999999998,0.002547651,1588269043.0,63.0,0.007780915,5.914285248447187,3890.0
5,5,5,quiet-sweep-147,1000.0,735,435,674,692,969,980,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003278052,0.001792384,147.0,146.0,"{'path': 'media/graph/graph_summary_85f8bb5c.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '85f8bb5c2f28588a06ed6983482b57b62e00439213191f2b62826f0182e10e71'}",0.00067389,14.11624002,0.010621476,0.002604162,1588269011.0,46.0,0.00694937,5.725427494956162,4485.0
6,6,6,lyric-sweep-146,1000.0,731,279,739,657,995,840,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000439335,0.003323486,0.001836975,153.0,152.0,"{'path': 'media/graph/graph_summary_d7010f9d.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'd7010f9dfe1fe72eed48d0b23ae930cd3de03d78c53801f0541e1eeda869513a'}",0.000789691,14.04343581,0.008446706,0.002533795,1588268983.0,52.0,0.00655668,5.764968343364949,4241.0
7,7,7,copper-sweep-145,1000.0,583,311,710,423,972,950,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003096645,0.001896123,131.0,130.0,"{'path': 'media/graph/graph_summary_04d68d40.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '04d68d4035bf6687de2a26ad2c5a840e49dad689adbcae1773330cb3e5dafe2c'}",0.000129927,11.89019489,0.008885789,0.002966718,1588268952.0,30.0,0.006908153,5.5647506682689745,3949.0
8,8,8,devout-sweep-144,1000.0,507,475,568,629,991,935,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003865836,0.002068639,148.0,147.0,"{'path': 'media/graph/graph_summary_d2ecb178.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'd2ecb178141ee822c3922da90f79e8aaa03b4629ab7a7b398336d004cf884354'}",0.000467361,12.58832741,0.012128016,0.003398476,1588268924.0,47.0,0.008794226,6.217584740073915,4105.0
9,9,9,upbeat-sweep-143,1000.0,688,280,686,462,950,870,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000439335,0.002714998,0.0017198570000000002,159.0,158.0,"{'path': 'media/graph/graph_summary_09148f0f.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '09148f0fa50570f1e79233bc99fb531cec86a974ea189f0313b91f54dc967a63'}",0.000356191,13.05108953,0.007930391,0.002358807,1588268894.0,58.0,0.007019137,5.210564268867624,3936.0
10,10,10,misty-sweep-141,1000.0,500,471,603,492,983,916,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003183622,0.001776238,148.0,147.0,"{'path': 'media/graph/graph_summary_3265de75.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '3265de75fdebd66f10cc033516e9239f281b66c3dda493e1ff0f85f67521cfd7'}",0.000668144,12.59530902,0.010525578999999998,0.002515478,1588268835.0,47.0,0.007355228,5.642359435555306,3965.0
11,11,11,jumping-sweep-140,1000.0,569,280,653,459,976,864,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000288248,0.0033485520000000003,0.0013976479999999998,191.0,190.0,"{'path': 'media/graph/graph_summary_18dae9a2.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '18dae9a2c4008406a62ccd484b0dfec10947c8af2d7403d3d9375c50f117809d'}",0.001266388,13.52881169,0.010382018,0.002082164,1588268807.0,90.0,0.007722861,5.786667434715771,3801.0
12,12,12,rose-sweep-139,1000.0,631,264,642,587,976,880,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000439335,0.002854986,0.001897242,145.0,144.0,"{'path': 'media/graph/graph_summary_1a68debc.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '1a68debca9ca7c6cd695f0ebec08b42861613640b2e65c14a3eddc07665e9c8c'}",0.000135429,12.3908565,0.012339533,0.002719557,1588268778.0,44.0,0.008347463000000001,5.343206902226415,3980.0
13,13,13,logical-sweep-138,1000.0,736,463,528,439,951,870,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00023348,0.003109222,0.001235677,221.0,220.0,"{'path': 'media/graph/graph_summary_24440fe8.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '24440fe8fce1afbdac93784c8ca2a680a8f5e9066e6928e3f31b2b24ec8c0394'}",0.0014133,15.4815886,0.009030158,0.001695922,1588268752.0,120.0,0.007573446,5.576039813344234,3987.0
14,14,14,bumbling-sweep-137,1000.0,705,430,558,443,983,968,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.00374679,0.0017766529999999996,139.0,138.0,"{'path': 'media/graph/graph_summary_9516d802.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '9516d80281659bab84616d62f16534cb96155cf2dfd4c4e9f25478b2e56335b5'}",0.001196688,12.11359668,0.009985323,0.0025501020000000003,1588268720.0,38.0,0.006570861,6.121102841808819,4087.0
15,15,15,skilled-sweep-136,1000.0,616,486,654,656,984,893,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.002764719,0.001735231,157.0,156.0,"{'path': 'media/graph/graph_summary_e7f9fcbe.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'e7f9fcbe307b78af1e1e132eeae2c615b7fbc2840c3332baa2eddf6c39688639'}",0.000272751,14.3516109,0.008684622,0.0024919670000000003,1588268689.0,56.0,0.0068767540000000005,5.258059528000801,4289.0
16,16,16,spring-sweep-135,1000.0,554,414,626,480,968,986,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,9.05e-05,0.0032554840000000003,0.0028233190000000003,357.0,356.0,"{'path': 'media/graph/graph_summary_7e634820.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '7e63482039453f46c320d03b95202d3e2f9a94f15fcb3f64aed6a2576d873bba'}",0.000619649,25.71222258,0.00786155,0.002635835,1588268661.0,256.0,0.0072732080000000015,5.70568488439381,4028.0
17,17,17,vague-sweep-134,1000.0,572,308,732,432,986,914,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.002794278,0.001879776,138.0,137.0,"{'path': 'media/graph/graph_summary_4558ac03.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '4558ac03f4a60fef263521e0be651552828436825a48fb9b478c73288a41070d'}",-2.34e-05,11.66380048,0.009737649,0.0028176990000000003,1588268619.0,37.0,0.006381686,5.286093075230515,3944.0
18,18,18,noble-sweep-133,1000.0,531,459,595,440,957,835,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000439335,0.0031145020000000003,0.001832081,154.0,153.0,"{'path': 'media/graph/graph_summary_06311d66.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '06311d660dc21a919c642d8974400901105731f4dc334c07baf6acc11b7d1601'}",0.000595933,13.55673742,0.011078314,0.002518569,1588268592.0,53.0,0.007417763000000002,5.580772347981953,3817.0
19,19,19,dauntless-sweep-132,1000.0,692,463,537,589,966,919,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003355243,0.001791755,153.0,152.0,"{'path': 'media/graph/graph_summary_5ee179b1.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '5ee179b17fd8aa7641785ea6233fafec4f9c0d5284881313bb0ec0875cfb682b'}",0.001026476,13.26751089,0.008049379,0.0023287670000000003,1588268556.0,52.0,0.006468713,5.792445942777541,4166.0
20,20,20,jumping-sweep-131,1000.0,668,437,626,609,989,873,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.004247952,0.001608667,134.0,133.0,"{'path': 'media/graph/graph_summary_79cd933a.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '79cd933a44efe1dc49f5e5ef0016ecac12c08f67b3cfc68b6b273d96ad5fbc1d'}",0.00145559,12.81372523,0.011737323,0.002792361,1588268527.0,33.0,0.008281903,6.517631471631394,4202.0
21,21,21,sleek-sweep-130,1000.0,712,457,582,544,967,845,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.00297962,0.001899534,143.0,142.0,"{'path': 'media/graph/graph_summary_7a690262.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '7a690262e0676cb512d3ae5772f33933615cd5ae3404b5adcf5f2b612f84ca4f'}",0.000498966,12.77981448,0.011773652,0.002480654,1588268498.0,42.0,0.006227241999999999,5.458589561416026,4107.0
